TOTAL_VALUE ,LIVING_AREA,ROOMS,REMODEL
344.2,1352,6,NO
412.6,1976,10,YES
330.1,1371,8,NO
498.6,2608,9,NO
331.5,1438,7,NO
337.4,1060,6,YES
359.4,1916,7,NO
320.4,1200,6,NO
333.5,1092,5,YES
409.4,2992,8,NO
313,1485,6,NO
344.5,1460,6,NO
315.5,1290,6,NO
575,2378,9,NO
326.2,1272,6,NO
298.2,864,7,NO
313.1,1438,7,YES
344.9,1445,7,NO
330.7,1470,7,NO
348,1632,7,NO
317.5,1232,7,NO
330.8,1302,6,YES
357.8,1275,6,NO
414.7,2054,6,NO
318.8,1371,7,NO
346.2,1541,7,NO
245.1,927,5,NO
317.4,1244,7,NO
247.3,1048,6,NO
320.8,808,6,NO
328.8,1469,6,NO
293.6,1436,7,NO
280.1,1625,7,NO
342.5,1620,7,NO
337.2,1906,9,NO
336.5,1393,6,NO
315.6,1394,6,NO
296.5,1452,6,NO
239.7,960,5,NO
318.4,1803,7,NO
431.5,1792,7,YES
349.8,1460,7,NO
344,1870,9,NO
358.3,1690,7,NO
346.2,1391,6,YES
490.7,2640,6,YES
371.9,1500,7,NO
325.3,1572,7,NO
340.5,1326,6,NO
432.5,1500,7,NO
334.7,1694,7,NO
314.3,1508,7,NO
405.5,1560,7,NO
326,1300,7,NO
285.6,1364,5,NO
345.9,1562,7,NO
317.3,1440,7,NO
277.8,1018,5,NO
306.8,1056,6,NO
265.7,1075,6,YES
356.8,2051,8,NO
299.9,1800,6,NO
287.8,1800,6,NO
296,1800,6,NO
300.6,1800,6,NO
566.3,2708,8,NO
286,1318,7,NO
351.2,1392,7,NO
365.1,1763,8,YES
330,1386,6,NO
354.1,1464,7,YES
335.8,1740,7,NO
345,845,6,NO
356.4,1836,8,YES
379,2436,8,NO
352.1,1350,7,NO
437.3,1680,6,NO
404.2,1992,8,YES
283.4,1470,5,NO
326.4,1265,6,NO
309.2,1224,7,NO
332.9,1488,7,NO
260.4,1299,6,NO
339.3,1306,6,YES
307.9,1369,6,YES
346.3,1546,6,YES
479.1,1872,7,NO
335.6,1265,6,NO
261.5,768,4,NO
355.1,1224,7,YES
356.8,1680,6,NO
287.3,1503,7,NO
331.9,1224,6,NO
387.1,1922,9,NO
307.6,1306,6,YES
360.9,1440,6,YES
466.1,1872,7,NO
340,1376,6,YES
303.9,1304,6,YES
303.5,1710,10,NO
301.4,1474,6,NO
339.9,1523,6,YES
281.3,1630,8,NO
530.1,2359,8,NO
310.4,1620,7,YES
344.6,2056,5,NO
525.1,2494,9,NO
285.3,1306,6,NO
302.3,1352,8,YES
243.3,1420,4,NO
334.9,1911,7,NO
327.5,1839,7,NO
586.6,2774,9,NO
347.3,1980,7,NO
267.6,876,5,NO
274.2,1435,5,NO
404.6,1989,6,YES
339.9,1625,7,NO
420.8,2888,12,NO
283.5,1484,6,NO
620.3,3446,10,NO
346.3,1150,6,YES
295.07,1486,6,YES
297.6,1680,7,NO
310.7,2074,10,NO
442.6,2282,6,NO
277.5,1014,6,NO
310.6,1421,7,YES
327.1,1340,6,NO
307.5,1400,6,NO
243.3,1120,6,NO
352.8,1826,8,YES
258.6,1080,6,NO
295.5,1387,6,NO
490.7,2483,9,NO
330.3,1440,6,NO
290.8,1414,6,NO
350.7,1636,9,NO
301.1,1696,7,NO
278.7,1633,8,YES
298.2,1120,6,NO
249,988,5,NO
287.5,1781,8,NO
434.3,1931,6,YES
508.8,2416,7,NO
338.8,1380,7,NO
363.5,2035,10,YES
335.3,2612,7,YES
353.5,1347,6,NO
291.5,2028,8,NO
325.8,1659,8,NO
368.2,1669,7,YES
361.7,1590,7,NO
286.3,1781,8,NO
315.7,1633,8,YES
282.4,900,5,NO
337.5,1131,6,NO
320.1,1824,7,YES
272.9,1430,6,NO
243.2,800,5,NO
305,1306,8,NO
277.7,1306,7,NO
316.9,1208,6,YES
297.1,1997,7,NO
467,2206,9,NO
302.4,900,6,NO
253.2,1403,6,NO
375.1,1590,7,NO
242.9,1248,7,NO
307.1,2009,9,NO
274.1,1000,5,NO
237,1020,6,YES
253,1155,6,NO
299.4,1082,5,NO
286.9,864,6,NO
327.5,1590,7,NO
367.5,1800,7,NO
308,1452,7,NO
516.7,2597,11,NO
348.7,1954,9,NO
367.1,1216,8,NO
299.4,1754,7,YES
296.5,1082,6,NO
360,1800,6,NO
325.9,1632,6,YES
360.8,1590,7,YES
283,1410,7,YES
368,1728,7,NO
297.8,1204,6,NO
239.9,1306,7,NO
293.7,1082,5,NO
412.4,1680,6,NO
382,1590,7,NO
275,1470,7,NO
318.2,1408,5,NO
266.3,1082,5,NO
282.2,1568,7,NO
325.2,2293,8,NO
287.8,960,6,NO
354.2,1650,8,NO
289.5,1326,7,YES
186.3,960,5,NO
398.1,1800,6,NO
283.5,933,7,NO
254.5,1082,5,NO
303.9,1228,6,NO
262.1,972,6,YES
273.1,900,5,NO
210.9,900,5,NO
272.4,1083,8,NO
279.6,1487,9,NO
348.9,1966,8,NO
325.2,1305,6,NO
323,1544,6,YES
337.3,1871,7,YES
182.7,856,5,NO
285.8,1539,6,NO
259,1744,6,NO
331.1,1726,8,NO
329.2,1320,7,NO
239.3,1310,6,NO
272,900,5,NO
207.9,938,5,NO
294.4,1000,5,NO
312.5,2156,6,NO
401.7,1976,8,NO
288.5,1467,7,NO
305.4,1380,6,NO
283.9,1552,7,NO
272.2,1469,7,NO
271.3,1487,6,NO
300.2,1469,6,NO
279.8,1246,6,NO
509.4,2601,8,YES
298.9,1008,6,NO
325,1276,8,YES
356,1200,7,YES
241.3,1105,6,NO
314.3,1380,8,NO
366.3,1976,7,NO
323.1,1896,8,NO
286.9,1469,5,NO
293.2,984,5,NO
293.8,1469,6,NO
167.6,690,3,NO
253.3,1350,6,NO
269.3,1152,6,NO
310.2,1364,5,NO
217.9,1008,6,NO
395,1684,6,NO
298.5,1380,8,NO
561.8,2455,8,NO
220,1061,6,NO
334.4,1510,6,NO
331.2,1469,7,NO
311.9,1140,7,NO
286.3,1056,5,YES
311.9,1075,6,NO
144.6,797,5,NO
292.5,1469,6,NO
233.7,1008,6,NO
287.8,1726,6,NO
309.5,1560,6,NO
278.4,912,6,NO
222.4,1188,5,NO
319.9,1712,8,YES
306.5,1016,6,NO
240.9,936,6,NO
270.7,1497,6,NO
314.2,1713,8,NO
306.5,968,6,NO
402.5,2369,9,YES
358.4,1625,7,YES
309.1,1577,8,NO
348.9,1529,6,NO
331.3,1966,8,NO
562,2724,8,NO
246.4,1008,6,NO
298,1533,8,NO
287.2,1000,5,NO
279.4,1075,6,NO
308.9,1075,6,NO
273.6,1075,7,NO
400.8,2079,7,NO
338,2134,7,NO
294.3,1378,6,NO
357.7,1966,6,YES
319.1,1313,7,NO
206,1265,5,NO
282.1,1426,7,YES
282.4,968,5,NO
293.9,1306,6,NO
322.4,1506,7,NO
337.2,1075,6,NO
313.7,1368,9,NO
280.2,1200,6,NO
297.8,1469,7,NO
474.4,2118,8,NO
269,2428,9,NO
313.6,1589,7,NO
322.1,1487,7,NO
204.9,990,5,NO
563.1,2605,8,NO
313.1,1368,7,NO
282.5,1538,8,NO
337,1490,7,YES
331.2,1306,6,NO
311.1,1966,7,NO
355.9,1726,8,YES
315,1372,6,NO
177.4,600,5,NO
298.1,1692,7,NO
331,1612,5,YES
396.8,1306,9,YES
349.3,1842,9,YES
338.2,1377,6,NO
276.6,1200,6,NO
255,970,7,NO
277.7,918,5,NO
347.9,1368,6,NO
440.2,1980,7,YES
357.3,1726,9,NO
558.8,2605,8,NO
305,1369,7,NO
322.4,1350,6,YES
105,504,4,NO
380.6,2014,8,YES
350.1,1529,7,NO
302.8,1380,7,NO
310.7,1404,5,NO
290.2,1692,7,NO
320.2,1387,6,YES
313.6,1492,5,NO
320,1558,7,NO
282.2,1320,6,NO
287.4,952,7,NO
336.6,1953,7,NO
307.2,1583,8,NO
277,1404,7,NO
347.2,1706,8,NO
201,1637,7,NO
353.5,1726,9,YES
423.4,2188,8,NO
323.5,1679,7,NO
576,3108,8,NO
301.1,1360,8,NO
374,1306,6,YES
300,1469,7,NO
348.8,1966,7,NO
308.6,1320,7,NO
320.9,1726,8,NO
326.8,1354,6,YES
354.4,1786,7,YES
265.3,1378,6,NO
376.2,1536,8,NO
296.9,1404,5,NO
252.985,1326,7,NO
339.1,1734,7,YES
299.4,1726,6,YES
323.5,1402,6,NO
359.3,1930,8,NO
361.7,1370,7,YES
256.4,1632,7,NO
236.7,1270,6,NO
250.3,1232,6,NO
340.7,1469,7,YES
312.5,1609,7,NO
287.4,1701,7,NO
320.8,1151,7,NO
329.4,1536,7,NO
307.4,1726,8,NO
327,1275,6,NO
406.9,1680,7,NO
270.4,1360,6,NO
278.6,1320,6,NO
392,2010,9,YES
310.7,1404,6,NO
283,1404,5,NO
353.5,1930,9,NO
302.3,1641,8,NO
424.9,1560,6,NO
348.3,1726,8,YES
354.3,1247,7,NO
297.9,1469,7,NO
327.2,1550,7,NO
306.1,1808,6,NO
428.2,1637,8,YES
366.3,1750,7,YES
263.1,1306,6,NO
388.7,1469,8,NO
